ND,lf_ISO_TIME
171510000000,1900/09/09
830000000,1901/08/14
7410000000,1903/09/11
0,1903/09/13
640000000,1904/09/14
2970000000,1906/09/27
2140000000,1906/10/18
2210000000,1909/07/21
1400000000,1909/09/21
8980000000,1909/10/11
5150000000,1910/10/18
420000000,1911/08/28
1930000000,1913/09/03
121200000000,1915/08/17
2980000000,1915/09/29
1800000000,1916/07/05
2460000000,1916/08/18
420000000,1918/08/06
600000000,1919/09/09
18460000000,1919/09/14
1020000000,1920/09/22
5660000000,1921/10/25
7190000000,1926/07/28
1750000000,1926/08/25
242750000000,1926/09/18
13200000000,1926/09/20
63830000000,1928/09/17
110000000,1929/06/28
170000000,1929/09/28
220000000,1929/10/01
12650000000,1932/08/14
7410000000,1933/08/23
2720000000,1933/09/04
9210000000,1933/09/05
1770000000,1933/09/16
710000000,1934/06/16
640000000,1934/07/25
2320000000,1935/09/03
330000000,1935/09/04
10420000000,1935/11/04
190000000,1936/06/27
110000000,1936/07/31
940000000,1936/09/18
31000000,1938/08/15
60680000000,1938/09/21
1370000000,1940/08/07
1930000000,1940/08/11
3820000000,1941/09/23
210000000,1941/10/06
100000000,1941/10/07
280000000,1942/08/21
3090000000,1942/08/30
6620000000,1943/07/27
520000000,1944/08/01
11200000000,1944/09/14
13730000000,1944/09/15
78840000000,1944/10/19
6150000000,1944/10/19
2830000000,1945/08/27
20380000000,1945/09/15
1700000000,1946/10/08
5990000000,1946/11/01
47000000,1947/08/24
21770000000,1947/09/17
2830000000,1947/09/19
45000000,1947/09/23
22000000,1947/10/07
6640000000,1947/10/12
350000000,1947/10/15
44000000,1948/09/04
5890000000,1948/09/22
1150000000,1948/10/05
25900000000,1949/08/26
1380000000,1949/10/04
2380000000,1950/09/04
7220000000,1950/10/18
1850000000,1951/10/02
210000000,1952/08/31
78000000,1953/08/14
21000000,1953/09/26
42000000,1954/08/31
24920000000,1954/08/31
4010000000,1954/09/11
36450000000,1954/10/15
2710000000,1955/08/12
21960000000,1955/08/17
31030000000,1955/08/19
8410000000,1955/09/19
2060000000,1956/09/24
4750000000,1957/06/27
73000000,1957/09/18
740000000,1958/09/27
15000000,1959/05/30
130000000,1959/06/18
620000000,1959/07/25
710000000,1959/09/29
130000000,1960/06/24
500000000,1960/07/29
73410000000,1960/09/10
3750000000,1960/09/12
1100000000,1960/09/12
45000000,1960/09/15
22270000000,1961/09/11
380000000,1961/09/21
58000000,1962/08/28
32000000,1962/10/08
410000000,1963/09/17
46000000,1964/08/07
8750000000,1964/08/27
22720000000,1964/09/10
3620000000,1964/10/04
1120000000,1964/10/14
3500000000,1965/09/08
17750000000,1965/09/10
700000000,1965/09/30
1120000000,1966/06/09
120000000,1966/10/04
7010000000,1967/09/20
56000000,1968/06/04
65000000,1968/06/23
1170000000,1968/10/19
28520000000,1969/08/18
9050000000,1970/08/03
3420000000,1971/08/27
690000000,1971/09/10
380000000,1971/09/16
270000000,1971/09/30
1950000000,1972/06/19
24490000000,1972/06/22
39000000,1972/09/04
480000000,1973/09/05
180000000,1974/06/25
1530000000,1974/09/08
8500000000,1975/09/23
720000000,1976/08/10
88000000,1977/09/05
280000000,1978/07/30
90000000,1979/07/11
2020000000,1979/07/24
110000000,1979/09/01
2270000000,1979/09/03
1570000000,1979/09/04
17170000000,1979/09/13
3040000000,1980/08/10
210000000,1981/08/17
84000000,1982/06/18
3000000,1982/09/11
22330000000,1983/08/18
620000000,1984/09/13
8000000,1984/09/27
190000000,1985/07/25
200000000,1985/08/15
5360000000,1985/09/02
660000000,1985/09/27
3260000000,1985/09/27
6140000000,1985/10/29
1800000000,1985/11/21
7000000,1986/06/26
79000000,1986/08/17
27000000,1987/08/10
1000000,1987/10/12
3000000,1988/08/09
3000000,1988/08/28
2000000,1988/09/10
290000000,1988/09/16
16000000,1988/11/23
2710000000,1989/06/26
390000000,1989/08/01
27430000000,1989/09/22
320000000,1989/10/16
290000000,1990/10/11
4690000000,1991/08/19
87220000000,1992/08/24
3030000000,1992/08/26
60000000,1993/06/20
130000000,1993/08/31
1710000000,1994/07/03
250000000,1994/08/16
2060000000,1994/11/16
7000000,1995/06/05
2000000,1995/07/31
1190000000,1995/08/02
1050000000,1995/08/03
150000000,1995/08/23
16510000000,1995/10/04
1020000000,1996/07/12
18930000000,1996/09/06
610000000,1996/10/08
270000000,1997/07/19
120000000,1998/08/22
2410000000,1998/08/27
220000000,1998/09/03
1090000000,1998/09/11
1200000000,1998/09/25
3660000000,1998/09/28
150000000,1998/11/05
120000000,1999/08/23
390000000,1999/09/04
16030000000,1999/09/16
37000000,1999/09/21
1940000000,1999/10/15
29000000,2000/09/18
38000000,2000/09/22
21700000000,2001/06/05
67000000,2001/08/06
570000000,2001/09/14
8000000,2002/09/07
0,2002/09/10
38000000,2002/09/14
630000000,2002/09/26
1610000000,2002/10/03
11000000,2002/10/11
95000000,2003/06/30
330000000,2003/07/15
11010000000,2003/09/18
7000000,2004/08/03
36990000000,2004/08/13
190000000,2004/08/14
240000000,2004/08/29
19990000000,2004/09/05
36910000000,2004/09/16
16800000000,2004/09/26
420000000,2005/07/06
3930000000,2005/07/10
148240000000,2005/08/29
130000000,2005/09/15
23110000000,2005/09/24
33410000000,2005/10/24
740000000,2006/08/30
63000000,2007/09/13
1940000000,2008/07/23
830000000,2008/08/19
7900000000,2008/09/01
270000000,2008/09/06
44260000000,2008/09/13
15000000,2010/07/01
22000000,2010/09/03
370000000,2010/09/07
17160000000,2011/08/27
3430000000,2012/08/29
80090000000,2012/10/29
7000000,2014/07/04
610000000,2016/09/02
11260000000,2016/10/08
132690000000,2017/08/26
52970000000,2017/09/10
230000000,2017/10/08
